substrate OuterVoltage,gate InnerVoltage,drain InnerVoltage,drain eCurrent
-1.8,1.35,0.09,0.00014249232253819
-1.8,1.35,0.18,0.000255608746702186
-1.8,1.35,0.27,0.00034056916143671
-1.8,1.35,0.36,0.000400811831854107
-1.8,1.35,0.45,0.000441489998586037
-1.8,1.35,0.54,0.000468674721390248
-1.8,1.35,0.63,0.000487890027688806
-1.8,1.35,0.72,0.000502802521824926
-1.8,1.35,0.81,0.000515250479688571
-1.8,1.35,0.9,0.000526112160757041
-1.8,1.35,0.99,0.000535823369770931
-1.8,1.35,1.08,0.000544777023034872
-1.8,1.35,1.17,0.000553361215147384
-1.8,1.35,1.26,0.000561715096523095
-1.8,1.35,1.35,0.000569888082135865
-1.8,1.35,1.44,0.00057788186829753
-1.8,1.35,1.53,0.0005856968713528
-1.8,1.35,1.62,0.000593327702177721
-1.8,1.35,1.71,0.000600754324568373
-1.8,1.35,1.8,0.000607960403605323
